Year,Day,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
1,1,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1012,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,45,0,0,0,0,0,0,0,0,0,230,168,4,0,0,0,0,0,0,0,95,213,41,0,0,0,0,0,0,0,32,85,48,9,0,0,0,0,0,0,9,39,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,51,99,30,3,0,0,0,0,0,0,34,166,125,6,0,0,0,0,0,0,16,78,126,44,4,0,0,0,0,0,1,34,53,33,6,0,0,0,0,0,2,8,20,12,3,0,2,0,0,0,0,3,9,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,46,98,25,2,0,0,0,0,0,0,32,135,127,8,0,0,0,0,0,0,13,88,129,46,4,4,0,0,0,0,0,30,48,34,6,0,0,0,0,0,1,17,20,21,2,0,0,0,0,0,0,4,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,1,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,45,88,34,2,0,0,0,0,0,0,29,162,122,14,0,0,0,0,0,0,12,79,131,34,5,4,0,0,0,0,3,37,62,33,10,0,0,0,0,0,0,13,28,12,1,0,3,0,0,0,0,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,14,44,35,6,0,0,0,0,0,0,5,83,96,35,6,0,0,0,0,0,7,50,82,95,23,6,0,0,0,0,6,24,57,108,40,6,3,0,0,0,0,2,32,51,29,14,0,0,0,0,0,1,1,14,9,10,3,3,0,0,0,0,3,5,9,0,0,0,0,0
1,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,5,0,0,0,0,0,0,0,8,42,34,3,0,0,0,0,0,0,4,66,101,46,1,0,0,0,0,0,3,49,82,88,26,3,1,0,0,0,1,18,60,93,31,10,1,0,0,0,0,2,39,42,29,16,1,0,0,0,0,3,0,19,10,3,3,3,0,0,0,0,2,1,3,0,0,0,0,0
1,9,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,6,39,44,4,0,0,0,0,0,0,6,58,93,36,4,0,0,0,0,0,3,38,78,86,24,4,0,0,0,0,4,26,60,112,44,10,1,0,0,0,0,2,39,53,32,16,4,0,0,0,0,3,2,23,14,17,4,4,0,0,0,0,0,3,5,0,1,0,0,0
1,10,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,8,12,3,1,0,0,0,0,0,0,10,54,40,3,0,0,0,0,0,0,5,75,105,25,6,0,0,0,0,0,5,37,92,96,32,6,2,0,0,0,4,25,53,99,32,10,4,0,0,0,0,4,26,44,15,21,2,0,0,0,0,3,0,21,9,10,4,2,0,0,0,0,4,3,6,1,0,0,0,0
1,11,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,6,14,3,2,0,0,0,0,0,0,10,46,46,5,0,2,0,0,0,0,5,68,112,36,6,2,0,0,0,0,4,43,84,84,20,4,2,0,0,0,3,25,39,93,46,9,2,0,0,0,0,2,28,38,33,16,4,1,0,0,0,0,0,11,11,12,3,4,0,0,0,0,5,0,4,1,0,0,0,0
1,12,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,7,12,2,1,0,0,0,0,0,0,13,44,39,2,0,0,2,0,0,0,2,57,97,44,4,2,0,0,0,0,2,44,104,86,20,4,2,1,0,0,3,20,49,92,39,10,3,0,0,0,0,3,31,56,27,8,4,1,0,0,0,2,2,9,7,7,2,6,0,0,0,0,4,2,4,2,0,0,0,0
1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,6,20,23,10,6,1,2,0,0,0,5,27,52,49,18,6,2,0,0,0,0,30,65,66,41,16,6,2,1,0,1,14,44,82,59,23,16,1,3,0,0,2,12,60,54,25,7,6,6,0,0,2,0,14,13,9,7,3,8,0,0,0,6,6,4,2,1,2,4
1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,0,0,0,0,0,4,21,23,7,7,1,2,0,0,0,7,31,67,46,13,3,2,0,0,0,0,29,77,67,43,29,3,2,1,0,0,17,37,81,56,27,14,5,1,0,0,2,14,40,50,25,16,4,2,0,0,0,0,13,11,19,5,5,5,0,0,0,3,1,0,2,0,1,1
1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,4,10,11,5,1,1,0,0,0,2,5,27,30,20,5,2,0,0,0,1,5,20,51,64,32,2,1,0,0,0,10,18,70,94,59,23,9,1,0,0,1,11,40,79,64,39,11,3,0,0,0,2,15,27,46,30,26,17
1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,10,7,8,2,0,0,0,0,3,3,11,35,9,7,1,1,0,0,0,5,22,23,36,19,14,5,0,0,0,6,34,44,74,58,41,23,0,0,0,1,7,29,58,77,71,51,0,0,0,0,4,9,14,64,36,78
1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,4,4,1,5,4,0,0,0,0,0,7,22,23,11,15,0,0,0,0,4,3,22,24,37,22,16,8,0,0,0,3,20,34,104,69,37,23,0,0,0,1,8,33,60,76,70,39,0,0,0,0,3,11,13,62,60,57
1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,8,7,6,2,0,0,0,0,2,2,19,19,12,13,1,3,0,0,0,2,22,24,40,34,14,9,0,0,0,2,24,44,86,67,38,18,0,0,0,0,7,26,49,77,84,33,0,0,0,0,4,5,13,67,61,46
1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,1,3,0,0,0,0,0,1,4,12,20,7,3,2,0,0,0,3,1,22,30,21,15,1,0,0,0,0,10,28,57,108,61,15,0,0,0,0,3,20,55,153,171,153
1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,3,3,0,0,0,0,0,0,6,6,22,18,3,2,0,0,0,3,2,24,40,27,17,4,0,0,0,1,9,42,67,91,67,25,0,0,0,0,5,14,62,152,176,167
2,1,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,41,246,76,13,13,0,0,0,0,0,0,165,250,92,33,0,0,0,0,0,0,0,42,39,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,40,219,91,27,10,0,0,0,0,0,0,168,241,88,39,0,0,0,0,0,0,7,27,47,1,0,0,0,0,0,0,0,10,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,32,236,85,24,16,0,0,0,0,0,0,166,238,110,44,0,0,0,0,0,0,2,38,56,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,20,214,91,23,8,0,0,0,0,0,0,159,207,100,37,0,0,0,0,0,0,4,31,41,0,0,0,0,0,0,0,0,9,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,1,2,4,2,0,0,0,0,0,0,12,83,66,23,8,0,0,0,0,0,1,70,152,81,28,1,0,0,0,0,1,18,102,109,46,4,5,0,0,0,0,10,36,65,33,8,3,0,0,0,0,1,4,24,12,4,3,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0,0,0,1,0,0,0,0,0,0,0,10,29,21,7,2,1,0,0,0,0,2,37,95,56,30,7,2,0,0,0,3,18,104,113,70,25,2,0,0,0,0,6,34,62,60,41,19,2,0,0,0,1,3,26,49,29,12,2,2,0,0,0,1,2,9,13,6,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,4,3,0,0,0,0,0,1,13,43,20,9,11,0,0,0,0,0,18,49,70,41,38,2,4,0,0,0,5,26,81,94,52,20,13,0,0,0,1,12,25,66,61,26,10,0,0,0,0,0,4,21,39,31,13,0,0,0,0,0,0,7,5,15,2,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,13,4,7,11,1,4,0,0,0,4,13,30,33,27,13,8,0,0,0,0,10,31,76,78,56,31,0,0,0,0,1,12,39,53,64,56,0,0,0,0,0,3,12,43,71,53,0,0,0,0,0,0,0,10,25,63,0,0,0,0,0,0,0,1,12,22,0,0,0,0,0,0,0,0,0,0
2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,9,0,0,4,0,0,0,0,0,8,19,14,11,23,0,0,0,0,0,10,22,67,56,60,0,0,0,0,0,1,14,43,93,99,0,0,0,0,0,0,3,21,73,106,0,0,0,0,0,0,0,6,30,155,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,7
2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,5,23,5,13,16,0,0,0,0,0,10,21,58,45,50,0,0,0,0,0,2,19,51,88,134,0,0,0,0,0,0,4,29,74,119,0,0,0,0,0,0,1,3,35,144,0,0,0,0,0,0,0,1,3,41,0,0,0,0,0,0,0,0,0,6
2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,2,0,1,4,0,0,0,0,0,7,20,7,13,28,0,0,0,0,0,3,25,51,41,49,0,0,0,0,0,1,16,57,90,126,0,0,0,0,0,0,6,24,87,111,0,0,0,0,0,0,1,5,34,125,0,0,0,0,0,0,0,1,1,55,0,0,0,0,0,0,0,0,0,7
2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,0,0,0,0,0,1,16,23,29,35,0,0,0,0,0,0,17,43,75,114,0,0,0,0,0,3,8,36,67,115,0,0,0,0,0,0,6,15,62,136,0,0,0,0,0,0,1,9,42,138
2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,11,4,4,14,0,0,0,0,0,1,7,15,21,14,0,0,0,0,0,0,11,33,55,67,0,0,0,0,0,1,6,35,88,136,0,0,0,0,0,0,2,17,97,355
2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,6,4,1,0,0,0,0,0,0,8,18,25,10,0,0,0,0,0,2,13,28,52,42,0,0,0,0,0,1,8,27,92,70,0,0,0,0,0,0,3,35,121,351
2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,16,3,9,8,0,0,0,0,0,0,10,18,19,13,0,0,0,0,0,2,13,26,54,56,0,0,0,0,0,0,10,30,100,136,0,0,0,0,0,0,0,25,109,336
2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,2,2,5,0,0,0,0,0,0,0,10,18,19,0,0,0,0,0,0,0,6,19,104,0,0,0,0,0,0,0,11,41,261,0,0,0,0,0,0,0,1,15,487
2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,2,11,7,8,0,0,0,0,0,0,0,10,19,63,0,0,0,0,0,0,0,1,45,767
2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,4,4,6,12,0,0,0,0,0,0,1,9,21,60,0,0,0,0,0,0,1,7,48,757
3,1,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1008,1,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,34,262,74,23,15,0,0,0,0,0,0,194,234,83,28,0,0,0,0,0,0,2,23,40,1,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,25,259,67,16,11,0,2,0,0,0,0,188,229,69,36,0,0,0,0,0,0,0,19,21,1,0,1,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,1,19,55,20,12,0,1,0,0,0,0,19,101,152,73,30,15,8,1,0,0,0,33,115,101,54,26,7,1,0,0,0,0,13,46,38,10,3,0,0,0,0,0,2,4,6,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,3,26,72,29,7,2,0,0,0,0,0,18,104,168,88,36,14,5,0,0,0,1,44,86,117,48,30,4,2,0,0,0,0,19,39,31,13,7,0,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,1,29,65,25,14,1,1,0,0,0,0,14,94,146,79,30,13,6,1,0,0,0,29,118,113,64,21,6,3,0,0,0,1,13,48,34,16,3,0,0,0,0,0,1,9,6,3,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
